           enrg          enrg2          enrg4         stiffx         stiffy

  9.881313e-324 -6.916919e-323   0.000000e+00   0.000000e+00   0.000000e+00
  -1.158496e+00   8.923901e+04   7.174662e+04   0.000000e+00   0.000000e+00
  -4.115844e+00   1.129115e+06   1.147756e+07   0.000000e+00   0.000000e+00
  -4.115497e+00   1.129460e+06   1.147791e+07   0.000000e+00   0.000000e+00
  -4.658981e+00   1.137514e-04   7.644026e-14   0.000000e+00   0.000000e+00
  -4.146509e+00   8.821105e-05   4.285999e-14   0.000000e+00   0.000000e+00
  -1.830100e+00   1.682486e-05   1.441793e-15   0.000000e+00   0.000000e+00
  -1.858060e+00   1.734275e-05   1.531871e-15   0.000000e+00   0.000000e+00
  -2.500300e+00   3.141342e-05   5.032171e-15   0.000000e+00   0.000000e+00
  -2.500153e+00   3.140948e-05   5.030783e-15   0.000000e+00   0.000000e+00
  -2.172895e+00   2.703407e-05   5.578583e-15   0.000000e+00   0.000000e+00
   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
  -2.435350e-01   8.627375e-07   2.230159e-17   0.000000e+00   0.000000e+00
  -2.173515e+00   2.701715e-05   5.538602e-15   0.000000e+00   0.000000e+00
  -2.171741e+00   2.701474e-05   5.562164e-15   0.000000e+00   0.000000e+00
  -2.174647e+00   2.707898e-05   5.595228e-15   0.000000e+00   0.000000e+00
  -2.173999e+00   2.704494e-05   5.571210e-15   0.000000e+00   0.000000e+00
  -2.169924e+00   2.695955e-05   5.543468e-15   0.000000e+00   0.000000e+00
  -2.172949e+00   2.704287e-05   5.583702e-15   0.000000e+00   0.000000e+00
  -2.175331e+00   2.707500e-05   5.571198e-15   0.000000e+00   0.000000e+00
  -2.172052e+00   2.703886e-05   5.585666e-15   0.000000e+00   0.000000e+00
  -2.175419e+00   2.709462e-05   5.596082e-15   0.000000e+00   0.000000e+00
